Title,Companie,Location,Exeprience,Salary,Description
QA Engineer  ,Agile English India Private Limited,Chennai,2-7 years,Not Specified,Detail-oriented and experienced Automation Test Engineer.
Senior Agile Coach ,Citi,India,3-6 years,Not Specified,"Job Description Summary
Citi's Treasury and Trade Solutions (TTS) group is built on the power of our network. We have offices in 101 countries, servicing clients in 160 countries, transacting on over 140 currencies, servicing 81% of the Global Fortun"
Agile Product Owner ,Deutsche Bank,,10-12 years,Not Specified,"Position Overview
We are looking for a passionate and self-motivated Product Owner to join our team.
At PACE we believe in and create opportunities to do things differently. With our Products, we focus on and embrace user centric conversations and d"
Manager - Agile ,Genpact,Pune,Not Specified,Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world's biggest brands-and we have fun doing it. Now, we're calling all you rule-breakers and risk-takers who see the world differently, and are"
Agile Scrum Master II ,FIS Global Business Solutions India Private Limited,Pune,Not Specified,Not Specified,"Position Type : Full time
Type Of Hire : Experienced (relevant combo of work and education)
Education Desired : Bachelor's Degree
Travel Percentage : 0%
Agile Scrum Master II - 6+ Yrs - Bangalore/Pune
About the team:
As a Scrum Master you will be wor"
Agile Scrum Master Senior ,FIS Global Business Solutions India Private Limited,India,Not Specified,Not Specified,"Position Type : Full time
Type Of Hire : Experienced (relevant combo of work and education)
Education Desired : Bachelor's Degree
Travel Percentage : 0%
Are you curious, motivated, and forward-thinking At FIS you\u2019ll have the opportunity to work"
Agile Scrum Master II ,FIS Global Business Solutions India Private Limited,,Not Specified,Not Specified,"Position Type : Full time
Type Of Hire : Experienced (relevant combo of work and education)
Education Desired : Bachelor's Degree
Travel Percentage : 0%
Agile Scrum Master II - 6+ Yrs - Bangalore/Pune
About the team:
As a Scrum Master you will be wor"
Project Manager -Scrum Agile ,FIS Global Business Solutions India Private Limited,Mumbai,Not Specified,Not Specified,"Position Type : Full time
Type Of Hire : Experienced (relevant combo of work and education)
Education Desired : Bachelor of Business Administration
Travel Percentage : 0%
Project Manager -Scrum Agile :
Are you curious, motivated, and forward-thinking"
Agile Talend Developer ,Citi,Bengaluru / Bangalore,3-5 years,Not Specified,We are looking for and experienced hands-on senior Talend developer with very good understanding of Java & ETL technologies and working knowledge of Mongo DB. The candidate should have worked previously ideally in a Java ETL developer role implementi
SDS (Lean & Agile) Team Coach ,Siemens Technology,,15-18 years,Not Specified,"Job Description :
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering en"
Agile Coach(Senior Practice Manager) ,FIS Global Business Solutions India Private Limited,India,15-18 years,Not Specified,"Position Type : Full time
Type Of Hire : Experienced (relevant combo of work and education)
Education Desired : Bachelor of Computer Engineering
Travel Percentage : 0%
Are you curious, motivated, and forward-thinking At FIS you\u2019ll have the oppo"
IT Agile Scrum Master ,FIS Global Business Solutions India Private Limited,India,6-9 years,Not Specified,"Position Type : Full time
Type Of Hire : Experienced (relevant combo of work and education)
Education Desired : Bachelor of Engineering
Travel Percentage : 0%Are you curious, motivated, and forward-thinking At FIS you\u2019ll have the opportunity to"
Agile Project Management ,Accenture,,15-18 years,Not Specified,"About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine u"
Agile Project Management Application Designer ,Accenture,Pune,8-10 years,Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int"
Agile Program Management Application Developer ,Accenture,India,4-6 years,Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int"
Agile Project Management Scrum Master ,Accenture,,12-15 years,Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int"
Agile Project Management Scrum Master ,Accenture,Pune,4-6 years,Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int"
Agile Project Management Scrum Master ,Accenture,India,6-8 years,Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int"
Agile Testing  ,Travash Software Solutions Private Limited,,4-8 years,Not Specified,"agile testing,wtih strong sql,unix"
Control Manager – CCB Agile Reporting & Data Analysis ,JP Morgan Chase & Co.,Chennai,3-6 years,Not Specified,"Job Description :
The CCB Agility Control Team primary function is to solidify an effective control framework across the CCB Agile Product Architecture, looking within and across the lines of business, to identify and remediate control issues with a"
Senior Agile Project Management Business Analyst Role - VP ,Citi,India,12-15 years,Not Specified,"Organization Overview:
Citi Market Operations Technology is currently at a pivotal point in its evolution and journey to implement a target operating model. We take pride and are passionate about our People and our culture. We are invested in people"
"Specialist Agile Product Owner - Australia, New Zealand, India ",FIS Global Business Solutions India Private Limited,,Not Specified,Not Specified,"Position Type : Full time
Type Of Hire : Experienced (relevant combo of work and education)
Education Desired : Bachelor's Degree
Travel Percentage : 0%
Are you curious, motivated, and forward-thinking At FIS you\u2019ll have the opportunity to work"
Oracle Agile Product Lifecycle Management Application Developer ,Accenture,Chennai,6-8 years,Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int"
Agile Project Management Scrum Master ,Accenture,India,12-15 years,Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int"
